Area,BHK,Bathroom,Locality,Price
1360,4,3,Rohini,13500000
1550,4,3,Rohini,12500000
850,3,2,Rohini,6500000
2170,4,4,Rohini,22000000
720,3,2,Rohini,6000000
850,3,2,Rohini,7300000
950,3,2,Rohini,7600000
2300,4,4,Rohini,20000000
1300,4,4,Rohini,15000000
1100,3,2,Rohini,6200000
1030,3,2,Rohini,6200000
350,1,1,Rohini,2300000
750,2,2,Rohini,5000000
720,2,2,Rohini,4700000
800,2,2,Rohini,5500000
350,1,1,Rohini,2000000
980,3,2,Rohini,7300000
1600,4,3,Rohini,13000000
1450,3,3,Rohini,11500000
445,2,2,Rohini,2800000
380,1,1,Rohini,2200000
680,2,2,Rohini,4400000
1600,3,3,Rohini,13500000
630,2,2,Rohini,4100000
1500,3,2,Rohini,12000000
550,2,2,Rohini,3500000
2500,4,3,Rohini,15000000
2800,5,4,Rohini,17500000
300,1,1,Rohini,1900000
800,3,2,Rohini,5500000
1295,3,2,Rohini,10000000
700,3,2,Rohini,4700000
350,1,1,Rohini,2400000
450,2,2,Rohini,3800000
2200,4,4,Rohini,23000000
2300,4,4,Rohini,24500000
1150,3,2,Rohini,10000000
800,3,2,Rohini,5500000
850,3,2,Rohini,7000000
720,3,2,Rohini,6500000
4688,5,4,Patel Nagar,135000000
750,2,2,Rohini,5000000
3901,4,4,Patel Nagar,93000000
950,3,2,Uttam Nagar,4370000
1000,3,2,Dwarka,4620000
850,2,1,Dwarka,1900000
2400,4,4,Greater Kailash,70000000
1350,3,2,Dwarka,5130000
540,2,2,Dwarka,3000000
1387,4,4,Dwarka,5890000
540,2,2,Uttam Nagar,3300000
976,2,2,Okhla,24900000
1050,3,2,Dwarka,3700000
2700,4,3,Greater Kailash,60000000
1500,3,2,Dwarka,17400000
5025,5,6,Greater Kailash,170000000
1000,3,2,Uttam Nagar,5510000
1135,3,3,Karol Bagh,25000000
2306,3,3,Patel Nagar,57000000
1200,3,3,Dwarka,15500000
1700,3,2,Dwarka,17200000
1800,4,3,Vasant Kunj,55000000
1100,2,2,Vasant Kunj,15000000
22050,4,4,Greater Kailash,51000000
1550,4,3,Rohini,13000000
1600,3,3,Greater Kailash,30000000
700,2,2,"Khanpur, Madangir",2400000
45,4,3,Okhla,5500000
3510,4,4,Friends,45000000
4500,4,4,Friends,60000000
1800,4,4,Friends,65000000
6000,5,5,Friends,220000000
4300,4,4,Friends,60000000
1700,3,3,Friends,38500000
2500,3,3,Friends,50000000
4500,4,4,Friends,75000000
2450,4,4,Friends,70000000
10350,4,7,Friends,160000000
4800,3,4,Friends,85000000
1600,3,3,Friends,40000000
3500,4,4,Friends,90000000
2100,4,5,Friends,56000000
4200,5,5,Friends,135500000
1500,3,3,Friends,60000000
8150,4,5,Friends,170000000
2200,4,4,Friends,50000000
3500,4,5,Friends,58000000
2070,3,3,Friends,37500000
3500,3,3,Friends,45000000
2000,4,4,Friends,70000000
2800,6,4,Friends,29500000
2550,4,4,Friends,60000000
4500,4,4,Friends,70000000
1400,3,3,Friends,50000000
2800,4,5,Friends,75000000
2700,4,4,Friends,52500000
4500,4,4,Friends,55000000
7200,4,4,Friends,120000000
2799,4,4,Greater Kailash,65000000
2650,4,4,Greater Kailash,75000000
2200,4,4,Greater Kailash,47500000
3500,5,5,Greater Kailash,70000000
2200,4,4,Greater Kailash,47500000
2200,4,4,Greater Kailash,40000000
3500,4,4,Greater Kailash,85000000
1440,3,3,Greater Kailash,26000000
3150,4,4,Greater Kailash,35000000
900,2,2,Greater Kailash,20000000
3690,4,5,Greater Kailash,79000000
1200,3,2,Greater Kailash,17000000
4500,4,4,Greater Kailash,47500000
2799,4,4,Greater Kailash,43000000
1350,3,3,Greater Kailash,26000000
1200,3,3,Greater Kailash,25000000
2177,4,5,Greater Kailash,51000000
1500,3,3,Greater Kailash,40000000
1600,3,3,Greater Kailash,22500000
4500,4,4,Greater Kailash,70000000
2150,4,4,Greater Kailash,45000000
2107,4,4,Greater Kailash,51100000
1150,3,3,Greater Kailash,25500000
1240,3,3,Greater Kailash,26500000
1000,2,2,Greater Kailash,15000000
4500,4,4,Greater Kailash,55000000
1150,3,3,Greater Kailash,26000000
2000,4,4,Greater Kailash,38000000
4500,4,5,Greater Kailash,72500000
3000,4,5,Greater Kailash,65000000
700,2,2,Shahdara,4600000
750,2,2,Shahdara,9200000
1350,4,3,Shahdara,9500000
900,2,2,Shahdara,4500000
970,3,2,Shahdara,6500000
1000,3,2,Shahdara,5650000
1425,3,3,Shahdara,9300000
440,2,2,Shahdara,2700000
1017,2,2,Shahdara,6500000
650,2,2,Shahdara,5800000
950,3,2,Shahdara,5500000
810,3,2,Shahdara,6000000
750,2,2,Shahdara,4500000
